name,mean,min,median,max,count,70%,80%,90%
simpls_range01_2,0.048,-0.07,0.07,0.143,3,0.099,0.114,0.128
svmRadialSigma_all_2,0.073,0.073,0.073,0.073,1,0.073,0.073,0.073
xyf_quantile_2,-0.053,-0.833,0.075,0.472,4,0.407,0.429,0.45
ctree_all_2,0.076,0.076,0.076,0.076,1,0.076,0.076,0.076
ctree2_all_2,0.076,0.076,0.076,0.076,1,0.076,0.076,0.076
xyf_all_2,0.086,0.086,0.086,0.086,1,0.086,0.086,0.086
SBC_asis_2,0.007,-1.462,0.087,0.609,20,0.23,0.29,0.331
xyf_range01_1,0.074,-0.53,0.091,0.444,7,0.309,0.337,0.385
nnet_range01_1,-0.028,-0.752,0.094,0.254,19,0.154,0.218,0.231
kernelpls_range01_2,0.076,-0.148,0.105,0.243,4,0.138,0.173,0.208
knn_range01_2,0.096,-0.125,0.106,0.3,4,0.18,0.22,0.26
svmRadialCost_quantile_2,0.079,-0.393,0.11,0.372,19,0.173,0.244,0.345
ridge_range01_2,0.133,-0.065,0.116,0.349,3,0.209,0.256,0.302
bagEarthGCV_all_2,0.126,0.002,0.126,0.249,2,0.175,0.2,0.224
pcaNNet_quantile_1,0.083,-0.554,0.143,0.513,12,0.253,0.288,0.389
TPOT_range01_2,0.12,0.008,0.147,0.242,7,0.148,0.148,0.186
svmLinear2_range01_2,0.109,-0.187,0.152,0.361,3,0.236,0.277,0.319
SL.bayesglm_range01_1,0.156,0.156,0.156,0.156,1,0.156,0.156,0.156
widekernelpls_range01_2,0.2,0.143,0.185,0.271,3,0.219,0.237,0.254
xgbLinear_all_2,0.194,0.194,0.194,0.194,1,0.194,0.194,0.194
relaxo_all_2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2
TPOT 4_range01_2,0.205,0.205,0.205,0.205,1,0.205,0.205,0.205
SL.ridge_range01_1,0.209,0.209,0.209,0.209,1,0.209,0.209,0.209
SL.step.forward_range01_1,0.234,0.234,0.234,0.234,1,0.234,0.234,0.234
svmLinear3_all_2,0.236,0.236,0.236,0.236,1,0.236,0.236,0.236
xyf_quantile_1,0.118,-0.515,0.284,0.421,4,0.351,0.374,0.398
SBC_all_2,0.365,0.365,0.365,0.365,1,0.365,0.365,0.365
TPOT_range01_1,0.464,0.464,0.464,0.464,1,0.464,0.464,0.464
